zeta,speed_g0.2,comp_g0.2,speed_g0.4,comp_g0.4,speed_g0.6,comp_g0.6,speed_g0.8,comp_g0.8,speed_g1.0,comp_g1.0
1.807310431589e+00,7.736278800394e-02,1.573879283196e-01,1.339411557991e-01,3.067325743803e-01,1.816816649975e-01,4.683424351644e-01,2.281823462414e-01,6.621265474123e-01,2.786046681935e-01,9.100262075740e-01
1.838038178161e+00,7.616411383499e-02,1.581160028784e-01,1.315319887708e-01,3.084094847949e-01,1.780017112719e-01,4.714020016183e-01,2.232512085456e-01,6.677777874608e-01,2.726164927730e-01,9.210032912038e-01
1.869288355409e+00,7.497718332278e-02,1.588329791765e-01,1.291453871953e-01,3.100457049772e-01,1.743514874284e-01,4.743596475490e-01,2.183511808850e-01,6.732446114236e-01,2.666584982505e-01,9.317685124466e-01
1.901069845656e+00,7.380203936858e-02,1.595387006638e-01,1.267816286945e-01,3.116403110301e-01,1.707317294270e-01,4.772117810655e-01,2.134835908545e-01,6.785174651357e-01,2.607327404275e-01,9.423054777709e-01
1.933391682244e+00,7.263872190874e-02,1.602330166673e-01,1.244409838890e-01,3.131924040131e-01,1.671431660332e-01,4.799548423488e-01,2.086497628293e-01,6.835867212831e-01,2.548412773894e-01,9.525975605693e-01
1.966263052097e+00,7.148726825353e-02,1.609157833879e-01,1.221237167281e-01,3.147011131555e-01,1.635865185230e-01,4.825853117908e-01,2.038510170188e-01,6.884426946195e-01,2.489861671276e-01,9.626279266017e-01
1.999693298336e+00,7.034771290759e-02,1.615868637967e-01,1.198300840393e-01,3.161655972233e-01,1.600624997101e-01,4.850997165305e-01,1.990886681336e-01,6.930756569660e-01,2.431694650787e-01,9.723795612704e-01
2.033691922933e+00,6.922008748337e-02,1.622461277019e-01,1.175603351509e-01,3.175850460196e-01,1.565718135424e-01,4.874946388812e-01,1.943640241236e-01,6.974758533989e-01,2.373932216909e-01,9.818352991714e-01
2.068268589410e+00,6.810442073383e-02,1.628934520751e-01,1.153147117403e-01,3.189586824536e-01,1.531151541658e-01,4.897667234563e-01,1.896783848599e-01,7.016335192156e-01,2.316594798327e-01,9.909778552182e-01
2.103433125589e+00,6.700073861441e-02,1.635287214568e-01,1.130934477985e-01,3.202857649714e-01,1.496932055195e-01,4.919126861653e-01,1.850330411273e-01,7.055388990657e-01,2.259702723097e-01,9.997898584120e-01
2.139195526383e+00,6.590906394307e-02,1.641518273767e-01,1.108967688293e-01,3.215655878372e-01,1.463066404575e-01,4.939293220043e-01,1.804292728171e-01,7.091822641412e-01,2.203276190307e-01,1.008253886306e+00
2.175565956639e+00,6.482941676548e-02,1.647626694598e-01,1.087248923038e-01,3.227974848965e-01,1.429561200658e-01,4.958135136635e-01,1.758683480043e-01,7.125539336151e-01,2.147335244223e-01,1.016352502658e+00
2.212554754024e+00,6.376181400152e-02,1.653611547752e-01,1.065780267838e-01,3.239808295539e-01,1.396422930951e-01,4.975622407756e-01,1.713515214356e-01,7.156442949159e-01,2.091899746322e-01,1.024068296304e+00
2.250172431967e+00,6.270626983500e-02,1.659471990355e-01,1.044563722341e-01,3.251150381515e-01,1.363657951745e-01,4.991725886455e-01,1.668800331584e-01,7.184438254882e-01,2.036989346962e-01,1.031383921892e+00
2.288429682644e+00,6.166279504584e-02,1.665207250571e-01,1.023601193237e-01,3.261995703203e-01,1.331272479614e-01,5.006417568923e-01,1.624551071690e-01,7.209431156188e-01,1.982623457217e-01,1.038282142698e+00
2.327337380020e+00,6.063139762210e-02,1.670816645232e-01,1.002894494227e-01,3.272339313501e-01,1.299272588059e-01,5.019670701600e-01,1.580779498928e-01,7.231328914871e-01,1.928821220095e-01,1.044745875074e+00
2.366906582936e+00,5.961208239993e-02,1.676299572022e-01,9.824453438939e-02,3.282176739013e-01,1.267664195818e-01,5.031459859125e-01,1.537497490044e-01,7.250040406554e-01,1.875601480795e-01,1.050758234199e+00
2.407148538258e+00,5.860485117885e-02,1.681655514008e-01,9.622553635711e-02,3.291503996594e-01,1.236453064052e-01,5.041761056893e-01,1.494716717816e-01,7.265476364089e-01,1.822982759234e-01,1.056302582811e+00
2.448074684067e+00,5.760970263968e-02,1.686884038641e-01,9.423260735839e-02,3.300317603526e-01,1.205644786076e-01,5.050551836249e-01,1.452448638585e-01,7.277549647784e-01,1.770983218504e-01,1.061362579301e+00
2.489696652914e+00,5.662663241475e-02,1.691984800886e-01,9.226588934559e-02,3.308614600292e-01,1.175244782609e-01,5.057811372196e-01,1.410704476715e-01,7.286175509874e-01,1.719620637191e-01,1.065922229418e+00
2.532026275128e+00,5.565563292525e-02,1.696957539350e-01,9.032551377378e-02,3.316392557536e-01,1.145258292125e-01,5.063520561596e-01,1.369495211047e-01,7.291271876543e-01,1.668912378243e-01,1.069965937285e+00
