s,kernel_g0.2,kernel_g0.4,kernel_g0.6,kernel_g0.8,kernel_g0.95
5.436894824708e-02,1.537769115840e+00,2.152330005621e+00,2.587001382798e+00,2.237828221244e+00,8.166740581980e-01
5.603672787980e-02,1.528504660247e+00,2.126474238695e+00,2.540525504676e+00,2.184385462554e+00,7.935659336876e-01
5.770450751252e-02,1.519565318584e+00,2.101673931446e+00,2.496211482614e+00,2.133731166362e+00,7.717611162362e-01
5.937228714524e-02,1.510930767386e+00,2.077857313619e+00,2.453900518632e+00,2.085645383603e+00,7.511515285060e-01
6.104006677796e-02,1.502582480159e+00,2.054959338495e+00,2.413449522131e+00,2.039931065721e+00,7.316407655342e-01
6.270784641068e-02,1.494503524438e+00,2.032920889595e+00,2.374729177676e+00,1.996411133158e+00,7.131425570098e-01
6.437562604341e-02,1.486678386487e+00,2.011688099257e+00,2.337622294601e+00,1.954925985514e+00,6.955794667439e-01
6.604340567613e-02,1.479092819249e+00,1.991211760866e+00,2.302022391237e+00,1.915331377337e+00,6.788817876762e-01
6.771118530885e-02,1.471733709978e+00,1.971446819865e+00,2.267832475409e+00,1.877496598139e+00,6.629865989263e-01
6.937896494157e-02,1.464588964578e+00,1.952351931323e+00,2.234963989915e+00,1.841302906804e+00,6.478369577974e-01
7.104674457429e-02,1.457647406200e+00,1.933889073999e+00,2.203335897300e+00,1.806642179664e+00,6.333812047038e-01
7.271452420701e-02,1.450898686047e+00,1.916023212547e+00,2.172873882746e+00,1.773415738837e+00,6.195723630100e-01
7.438230383973e-02,1.444333204673e+00,1.898722000903e+00,2.143509657503e+00,1.741533333301e+00,6.063676189836e-01
7.605008347245e-02,1.437942042343e+00,1.881955521034e+00,2.115180348254e+00,1.710912249853e+00,5.937278696432e-01
7.771786310518e-02,1.431716897229e+00,1.865696052164e+00,2.087827960190e+00,1.681476534968e+00,5.816173283711e-01
7.938564273790e-02,1.425650030414e+00,1.849917866353e+00,2.061398903521e+00,1.653156311676e+00,5.700031798513e-01
8.105342237062e-02,1.419734216838e+00,1.834597046928e+00,2.035843574776e+00,1.625887178145e+00,5.588552772752e-01
8.272120200334e-02,1.413962701425e+00,1.819711326812e+00,2.011115985580e+00,1.599609676730e+00,5.481458758897e-01
8.438898163606e-02,1.408329159753e+00,1.805239944202e+00,1.987173432673e+00,1.574268824007e+00,5.378493978927e-01
8.605676126878e-02,1.402827662723e+00,1.791163513456e+00,1.963976203887e+00,1.549813693741e+00,5.279422244533e-01
