s,kernel_g0.2,kernel_g0.4,kernel_g0.6,kernel_g0.8,kernel_g0.95
3.545692821369e-01,1.056868853347e+00,1.016643737368e+00,8.398206614896e-01,4.992828002900e-01,1.375359060643e-01
3.562370617696e-01,1.055877415543e+00,1.014737225954e+00,8.374593965725e-01,4.974119466473e-01,1.369241332489e-01
3.579048414023e-01,1.054891532041e+00,1.012843169640e+00,8.351157531016e-01,4.955567925211e-01,1.363179200725e-01
3.595726210351e-01,1.053911146057e+00,1.010961429586e+00,8.327895183752e-01,4.937171339263e-01,1.357171904550e-01
3.612404006678e-01,1.052936201652e+00,1.009091869133e+00,8.304804832299e-01,4.918927704580e-01,1.351218697039e-01
3.629081803005e-01,1.051966643706e+00,1.007234353761e+00,8.281884419662e-01,4.900835052129e-01,1.345318844825e-01
3.645759599332e-01,1.051002417911e+00,1.005388751045e+00,8.259131922749e-01,4.882891447119e-01,1.339471627799e-01
3.662437395659e-01,1.050043470750e+00,1.003554930614e+00,8.236545351667e-01,4.865094988258e-01,1.333676338800e-01
3.679115191987e-01,1.049089749484e+00,1.001732764108e+00,8.214122749025e-01,4.847443807015e-01,1.327932283337e-01
3.695792988314e-01,1.048141202138e+00,9.999221251386e-01,8.191862189259e-01,4.829936066919e-01,1.322238779295e-01
3.712470784641e-01,1.047197777485e+00,9.981228892522e-01,8.169761777974e-01,4.812569962862e-01,1.316595156667e-01
3.729148580968e-01,1.046259425031e+00,9.963349338891e-01,8.147819651306e-01,4.795343720428e-01,1.311000757282e-01
3.745826377295e-01,1.045326095005e+00,9.945581383474e-01,8.126033975287e-01,4.778255595234e-01,1.305454934545e-01
3.762504173623e-01,1.044397738341e+00,9.927923837471e-01,8.104402945246e-01,4.761303872294e-01,1.299957053186e-01
