ft,spinup_g0.2_re,spinup_g0.2_im,spinup_g0.5_re,spinup_g0.5_im,spinup_g0.8_re,spinup_g0.8_im,spinup_g1.0_re,spinup_g1.0_im
3.253613607190e-03,4.008440193818e-01,1.072061664429e-01,1.437743365498e-01,8.285229638178e-02,6.787369892081e-02,5.683710152043e-02,4.556101003430e-02,4.546229178665e-02
3.283740541725e-03,4.014607105800e-01,1.073692497574e-01,1.442173596286e-01,8.310614871557e-02,6.815283616492e-02,5.706977490614e-02,4.577191902208e-02,4.567182647978e-02
3.314146437531e-03,4.020783547820e-01,1.075325650917e-01,1.446617536105e-01,8.336076871117e-02,6.843312628598e-02,5.730339488920e-02,4.598380859002e-02,4.588232262101e-02
3.344833877657e-03,4.026969535059e-01,1.076961126004e-01,1.451075228084e-01,8.361615856415e-02,6.871457411084e-02,5.753796524131e-02,4.619668335601e-02,4.609378456189e-02
3.375805469072e-03,4.033165082724e-01,1.078598924359e-01,1.455546715502e-01,8.387232047477e-02,6.899718448742e-02,5.777348974811e-02,4.641054796050e-02,4.630621667282e-02
3.407063842884e-03,4.039370206054e-01,1.080239047487e-01,1.460032041778e-01,8.412925664798e-02,6.928096228484e-02,5.800997220923e-02,4.662540706662e-02,4.651962334312e-02
3.438611654562e-03,4.045584920314e-01,1.081881496874e-01,1.464531250479e-01,8.438696929339e-02,6.956591239346e-02,5.824741643831e-02,4.684126536029e-02,4.673400898108e-02
3.470451584166e-03,4.051809240800e-01,1.083526273985e-01,1.469044385319e-01,8.464546062527e-02,6.985203972506e-02,5.848582626308e-02,4.705812755038e-02,4.694937801409e-02
3.502586336570e-03,4.058043182839e-01,1.085173380262e-01,1.473571490157e-01,8.490473286254e-02,7.013934921290e-02,5.872520552534e-02,4.727599836878e-02,4.716573488863e-02
3.535018641695e-03,4.064286761784e-01,1.086822817131e-01,1.478112609000e-01,8.516478822873e-02,7.042784581182e-02,5.896555808104e-02,4.749488257056e-02,4.738308407039e-02
3.567751254739e-03,4.070539993020e-01,1.088474585992e-01,1.482667786003e-01,8.542562895201e-02,7.071753449839e-02,5.920688780027e-02,4.771478493409e-02,4.760143004434e-02
3.600786956413e-03,4.076802891961e-01,1.090128688226e-01,1.487237065470e-01,8.568725726516e-02,7.100842027098e-02,5.944919856736e-02,4.793571026117e-02,4.782077731478e-02
3.634128553176e-03,4.083075474050e-01,1.091785125192e-01,1.491820491852e-01,8.594967540553e-02,7.130050814987e-02,5.969249428085e-02,4.815766337713e-02,4.804113040540e-02
3.667778877472e-03,4.089357754761e-01,1.093443898226e-01,1.496418109752e-01,8.621288561506e-02,7.159380317738e-02,5.993677885358e-02,4.838064913100e-02,4.826249385941e-02
3.701740787973e-03,4.095649749598e-01,1.095105008644e-01,1.501029963923e-01,8.647689014026e-02,7.188831041797e-02,6.018205621267e-02,4.860467239559e-02,4.848487223954e-02
3.736017169822e-03,4.101951474094e-01,1.096768457738e-01,1.505656099269e-01,8.674169123216e-02,7.218403495831e-02,6.042833029962e-02,4.882973806768e-02,4.870827012813e-02
3.770610934874e-03,4.108262943813e-01,1.098434246775e-01,1.510296560844e-01,8.700729114636e-02,7.248098190748e-02,6.067560507028e-02,4.905585106809e-02,4.893269212724e-02
3.805525021951e-03,4.114584174350e-01,1.100102377001e-01,1.514951393857e-01,8.727369214295e-02,7.277915639699e-02,6.092388449494e-02,4.928301634184e-02,4.915814285866e-02
3.840762397082e-03,4.120915181329e-01,1.101772849640e-01,1.519620643668e-01,8.754089648652e-02,7.307856358095e-02,6.117317255832e-02,4.951123885828e-02,4.938462696403e-02
3.876326053765e-03,4.127255980406e-01,1.103445665888e-01,1.524304355791e-01,8.780890644617e-02,7.337920863614e-02,6.142347325964e-02,4.974052361124e-02,4.961214910487e-02
