gamma,theta,theta_inf
8.919298245614e-01,-4.242952522255e+01,-1.324295252226e+02
8.943859649123e-01,-4.249120207446e+01,-1.324912020745e+02
8.968421052632e-01,-4.255271920089e+01,-1.325527192009e+02
8.992982456140e-01,-4.261407722150e+01,-1.326140772215e+02
9.017543859649e-01,-4.267527675277e+01,-1.326752767528e+02
9.042105263158e-01,-4.273631840796e+01,-1.327363184080e+02
9.066666666667e-01,-4.279720279720e+01,-1.327972027972e+02
9.091228070175e-01,-4.285793052748e+01,-1.328579305275e+02
9.115789473684e-01,-4.291850220264e+01,-1.329185022026e+02
9.140350877193e-01,-4.297891842346e+01,-1.329789184235e+02
9.164912280702e-01,-4.303917978762e+01,-1.330391797876e+02
9.189473684211e-01,-4.309928688974e+01,-1.330992868897e+02
9.214035087719e-01,-4.315924032140e+01,-1.331592403214e+02
9.238596491228e-01,-4.321904067117e+01,-1.332190406712e+02
9.263157894737e-01,-4.327868852459e+01,-1.332786885246e+02
9.287719298246e-01,-4.333818446425e+01,-1.333381844643e+02
9.312280701754e-01,-4.339752906977e+01,-1.333975290698e+02
9.336842105263e-01,-4.345672291780e+01,-1.334567229178e+02
9.361403508772e-01,-4.351576658209e+01,-1.335157665821e+02
9.385964912281e-01,-4.357466063348e+01,-1.335746606335e+02
9.410526315789e-01,-4.363340563991e+01,-1.336334056399e+02
9.435087719298e-01,-4.369200216646e+01,-1.336920021665e+02
9.459649122807e-01,-4.375045077533e+01,-1.337504507753e+02
9.484210526316e-01,-4.380875202593e+01,-1.338087520259e+02
9.508771929825e-01,-4.386690647482e+01,-1.338669064748e+02
9.533333333333e-01,-4.392491467577e+01,-1.339249146758e+02
9.557894736842e-01,-4.398277717976e+01,-1.339827771798e+02
9.582456140351e-01,-4.404049453503e+01,-1.340404945350e+02
9.607017543860e-01,-4.409806728704e+01,-1.340980672870e+02
9.631578947368e-01,-4.415549597855e+01,-1.341554959786e+02
9.656140350877e-01,-4.421278114959e+01,-1.342127811496e+02
9.680701754386e-01,-4.426992333749e+01,-1.342699233375e+02
9.705263157895e-01,-4.432692307692e+01,-1.343269230769e+02
9.729824561404e-01,-4.438378089988e+01,-1.343837808999e+02
9.754385964912e-01,-4.444049733570e+01,-1.344404973357e+02
9.778947368421e-01,-4.449707291112e+01,-1.344970729111e+02
9.803508771930e-01,-4.455350815025e+01,-1.345535081502e+02
9.828070175439e-01,-4.460980357459e+01,-1.346098035746e+02
9.852631578947e-01,-4.466595970308e+01,-1.346659597031e+02
9.877192982456e-01,-4.472197705207e+01,-1.347219770521e+02
9.901754385965e-01,-4.477785613540e+01,-1.347778561354e+02
9.926315789474e-01,-4.483359746434e+01,-1.348335974643e+02
9.950877192982e-01,-4.488920154766e+01,-1.348892015477e+02
9.975438596491e-01,-4.494466889162e+01,-1.349446688916e+02
1.000000000000e+00,-4.500000000000e+01,-1.350000000000e+02
