g0.25_x,g0.25_y,g0.5_x,g0.5_y,g0.75_x,g0.75_y,g1.0_x,g1.0_y,zeta
8.781297666559e-01,-3.466459000800e-01,8.526780878388e-01,-5.076994586844e-01,7.795333015777e-01,-6.247488215980e-01,7.067446877402e-01,-7.072877410071e-01,5.431228038583e-04
8.780324280167e-01,-3.466979565505e-01,8.526450448531e-01,-5.077184876295e-01,7.795248713372e-01,-6.247534337638e-01,7.067429189952e-01,-7.072886245286e-01,5.457757514171e-04
8.779349473636e-01,-3.467500925356e-01,8.526119189080e-01,-5.077375641172e-01,7.795164101180e-01,-6.247580628291e-01,7.067411416099e-01,-7.072895123619e-01,5.484416576121e-04
8.778373244557e-01,-3.468023081730e-01,8.525787097895e-01,-5.077566882682e-01,7.795079178059e-01,-6.247627088560e-01,7.067393555423e-01,-7.072904045280e-01,5.511205857411e-04
8.777395590518e-01,-3.468546036008e-01,8.525454172834e-01,-5.077758602038e-01,7.794993942862e-01,-6.247673719067e-01,7.067375607498e-01,-7.072913010479e-01,5.538125994113e-04
8.776416509100e-01,-3.469069789571e-01,8.525120411746e-01,-5.077950800454e-01,7.794908394439e-01,-6.247720520434e-01,7.067357571899e-01,-7.072922019431e-01,5.565177625407e-04
8.775435997880e-01,-3.469594343806e-01,8.524785812476e-01,-5.078143479149e-01,7.794822531635e-01,-6.247767493289e-01,7.067339448197e-01,-7.072931072347e-01,5.592361393592e-04
8.774454054429e-01,-3.470119700101e-01,8.524450372864e-01,-5.078336639344e-01,7.794736353290e-01,-6.247814638259e-01,7.067321235962e-01,-7.072940169442e-01,5.619677944107e-04
8.773470676315e-01,-3.470645859845e-01,8.524114090741e-01,-5.078530282262e-01,7.794649858242e-01,-6.247861955975e-01,7.067302934761e-01,-7.072949310931e-01,5.647127925543e-04
8.772485861099e-01,-3.471172824434e-01,8.523776963935e-01,-5.078724409132e-01,7.794563045321e-01,-6.247909447070e-01,7.067284544160e-01,-7.072958497032e-01,5.674711989660e-04
8.771499606337e-01,-3.471700595261e-01,8.523438990268e-01,-5.078919021184e-01,7.794475913357e-01,-6.247957112180e-01,7.067266063722e-01,-7.072967727961e-01,5.702430791400e-04
8.770511909581e-01,-3.472229173727e-01,8.523100167554e-01,-5.079114119652e-01,7.794388461171e-01,-6.248004951941e-01,7.067247493008e-01,-7.072977003937e-01,5.730284988904e-04
8.769522768378e-01,-3.472758561231e-01,8.522760493603e-01,-5.079309705773e-01,7.794300687585e-01,-6.248052966994e-01,7.067228831577e-01,-7.072986325179e-01,5.758275243530e-04
8.768532180268e-01,-3.473288759179e-01,8.522419966218e-01,-5.079505780788e-01,7.794212591412e-01,-6.248101157982e-01,7.067210078986e-01,-7.072995691909e-01,5.786402219864e-04
8.767540142788e-01,-3.473819768977e-01,8.522078583198e-01,-5.079702345940e-01,7.794124171462e-01,-6.248149525548e-01,7.067191234789e-01,-7.073005104348e-01,5.814666585741e-04
8.766546653468e-01,-3.474351592034e-01,8.521736342334e-01,-5.079899402475e-01,7.794035426542e-01,-6.248198070340e-01,7.067172298539e-01,-7.073014562719e-01,5.843069012254e-04
8.765551709835e-01,-3.474884229761e-01,8.521393241411e-01,-5.080096951644e-01,7.793946355452e-01,-6.248246793007e-01,7.067153269787e-01,-7.073024067245e-01,5.871610173779e-04
8.764555309409e-01,-3.475417683574e-01,8.521049278208e-01,-5.080294994700e-01,7.793856956991e-01,-6.248295694201e-01,7.067134148080e-01,-7.073033618153e-01,5.900290747981e-04
8.763557449705e-01,-3.475951954890e-01,8.520704450501e-01,-5.080493532900e-01,7.793767229951e-01,-6.248344774576e-01,7.067114932964e-01,-7.073043215668e-01,5.929111415840e-04
8.762558128235e-01,-3.476487045128e-01,8.520358756056e-01,-5.080692567504e-01,7.793677173119e-01,-6.248394034788e-01,7.067095623983e-01,-7.073052860016e-01,5.958072861660e-04
