zeta,turn_g0.2,turn_g0.5,turn_g0.7,turn_g0.9,turn_g0.95,turn_g1.0
2.829770735121e-04,-8.884093935441e-01,-2.262446266205e-01,-6.476333177256e-02,-1.571716998801e-02,-1.082730236239e-02,-7.413176014446e-03
2.867276802930e-04,-9.014659989143e-01,-2.299534186883e-01,-6.592431336830e-02,-1.602543926747e-02,-1.104441752572e-02,-7.565128976062e-03
2.905279979959e-04,-9.145739118098e-01,-2.336874762208e-01,-6.709609760819e-02,-1.633738510618e-02,-1.126426605469e-02,-7.719095937616e-03
2.943786854944e-04,-9.277333835156e-01,-2.374469761505e-01,-6.827878545802e-02,-1.665305137080e-02,-1.148688236628e-02,-7.875103592867e-03
2.982804103948e-04,-9.409446668305e-01,-2.412320967092e-01,-6.947247883504e-02,-1.697248245179e-02,-1.171230131090e-02,-8.033178989374e-03
3.022338491521e-04,-9.542080160770e-01,-2.450430174383e-01,-7.067728061713e-02,-1.729572326965e-02,-1.194055817794e-02,-8.193349533180e-03
3.062396871869e-04,-9.675236871123e-01,-2.488799191989e-01,-7.189329465199e-02,-1.762281928132e-02,-1.217168870128e-02,-8.355642993602e-03
3.102986190045e-04,-9.808919373390e-01,-2.527429841825e-01,-7.312062576632e-02,-1.795381648652e-02,-1.240572906485e-02,-8.520087507981e-03
3.144113483154e-04,-9.943130257157e-01,-2.566323959214e-01,-7.435937977531e-02,-1.828876143428e-02,-1.264271590832e-02,-8.686711586594e-03
3.185785881570e-04,-1.007787212768e+00,-2.605483392994e-01,-7.560966349208e-02,-1.862770122951e-02,-1.288268633290e-02,-8.855544117611e-03
3.228010610173e-04,-1.021314760600e+00,-2.644910005625e-01,-7.687158473716e-02,-1.897068353966e-02,-1.312567790707e-02,-9.026614372090e-03
3.270794989604e-04,-1.034895932904e+00,-2.684605673295e-01,-7.814525234823e-02,-1.931775660139e-02,-1.337172867250e-02,-9.199952009047e-03
3.314146437531e-04,-1.048530994972e+00,-2.724572286034e-01,-7.943077618981e-02,-1.966896922747e-02,-1.362087715007e-02,-9.375587080583e-03
3.358072469938e-04,-1.062220213708e+00,-2.764811747817e-01,-8.072826716314e-02,-2.002437081356e-02,-1.387316234579e-02,-9.553550037144e-03
3.402580702425e-04,-1.075963857639e+00,-2.805325976682e-01,-8.203783721608e-02,-2.038401134528e-02,-1.412862375704e-02,-9.733871732750e-03
3.447678851532e-04,-1.089762196926e+00,-2.846116904836e-01,-8.335959935318e-02,-2.074794140524e-02,-1.438730137869e-02,-9.916583430358e-03
3.493374736073e-04,-1.103615503373e+00,-2.887186478773e-01,-8.469366764574e-02,-2.111621218012e-02,-1.464923570940e-02,-1.010171680731e-02
3.539676278494e-04,-1.117524050444e+00,-2.928536659383e-01,-8.604015724219e-02,-2.148887546800e-02,-1.491446775793e-02,-1.028930396079e-02
3.586591506246e-04,-1.131488113269e+00,-2.970169422071e-01,-8.739918437826e-02,-2.186598368555e-02,-1.518303904961e-02,-1.047937741338e-02
3.634128553176e-04,-1.145507968660e+00,-3.012086756871e-01,-8.877086638754e-02,-2.224758987558e-02,-1.545499163281e-02,-1.067197011876e-02
3.682295660939e-04,-1.159583895121e+00,-3.054290668561e-01,-9.015532171194e-02,-2.263374771438e-02,-1.573036808563e-02,-1.086711546735e-02
3.731101180424e-04,-1.173716172858e+00,-3.096783176785e-01,-9.155266991238e-02,-2.302451151941e-02,-1.600921152243e-02,-1.106484729215e-02
3.780553573206e-04,-1.187905083795e+00,-3.139566316169e-01,-9.296303167951e-02,-2.341993625691e-02,-1.629156560068e-02,-1.126519987458e-02
3.830661413008e-04,-1.202150911583e+00,-3.182642136442e-01,-9.438652884461e-02,-2.382007754968e-02,-1.657747452784e-02,-1.146820795041e-02
3.881433387192e-04,-1.216453941613e+00,-3.226012702558e-01,-9.582328439049e-02,-2.422499168496e-02,-1.686698306820e-02,-1.167390671584e-02
3.932878298262e-04,-1.230814461028e+00,-3.269680094815e-01,-9.727342246260e-02,-2.463473562233e-02,-1.716013654993e-02,-1.188233183352e-02
3.985005065392e-04,-1.245232758737e+00,-3.313646408981e-01,-9.873706838020e-02,-2.504936700178e-02,-1.745698087221e-02,-1.209351943881e-02
4.037822725970e-04,-1.259709125425e+00,-3.357913756419e-01,-1.002143486477e-01,-2.546894415190e-02,-1.775756251246e-02,-1.230750614602e-02
4.091340437169e-04,-1.274243853567e+00,-3.402484264210e-01,-1.017053909659e-01,-2.589352609801e-02,-1.806192853351e-02,-1.252432905470e-02
4.145567477530e-04,-1.288837237439e+00,-3.447360075278e-01,-1.032103242437e-01,-2.632317257061e-02,-1.837012659112e-02,-1.274402575617e-02
4.200513248574e-04,-1.303489573135e+00,-3.492543348525e-01,-1.047292786097e-01,-2.675794401376e-02,-1.868220494135e-02,-1.296663433996e-02
4.256187276431e-04,-1.318201158573e+00,-3.538036258950e-01,-1.062623854237e-01,-2.719790159362e-02,-1.899821244818e-02,-1.319219340045e-02
4.312599213489e-04,-1.332972293514e+00,-3.583840997787e-01,-1.078097772890e-01,-2.764310720712e-02,-1.931819859117e-02,-1.342074204356e-02
4.369758840071e-04,-1.347803279572e+00,-3.629959772631e-01,-1.093715880640e-01,-2.809362349068e-02,-1.964221347318e-02,-1.365231989354e-02
4.427676066132e-04,-1.362694420227e+00,-3.676394807573e-01,-1.109479528744e-01,-2.854951382908e-02,-1.997030782830e-02,-1.388696709978e-02
